REEF_ID,REEF_NAME,A_SECTOR,SHELF,LAT,LON,SITE_LAT,SITE_LON,SITE_NO,TRANSECT_NO,REPORT_YEAR,COVER,DISTURBANCE,COTS,STORM,BLEACHING,DISEASE,C,S,B,D,BENT_CLUST,CLUSTER,CONNECTEDNESS,AREA,RST,RSTY,HC,HC_1,HERB,HERB2,iZONE,sZONE,PFp,PFs,PFt,PFsum
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,3,1998,15.5,N,0,0,0,0,0,0,0,0,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_3,MACGILLIVRAY REEF_1_3_1998,15.5,13,24,6,1,0,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,3,1999,13.57,N,0,0,0,0,0,0,0,0,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_3,MACGILLIVRAY REEF_1_3_1999,13.57,15.5,27,8,1,0,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,3,2000,14.5,N,0,0,0,0,0,0,0,0,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_3,MACGILLIVRAY REEF_1_3_2000,14.5,13.57,32,16,1,0,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,3,2001,19,N,0,0,0,0,0,0,0,0,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_3,MACGILLIVRAY REEF_1_3_2001,19,14.5,49,20,1,0,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,3,2002,8.5,N,0,0,0,0,0,0,0,0,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_3,MACGILLIVRAY REEF_1_3_2002,8.5,19,32,11,1,0,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,3,2003,15,N,0,0,0,0,0,0,0,0,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_3,MACGILLIVRAY REEF_1_3_2003,15,8.5,47,21,1,0,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,3,2004,13.85,N,0,0,0,0,0,0,0,0,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_3,MACGILLIVRAY REEF_1_3_2004,13.85,15,35,15,1,0,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,3,2005,20.5,N,0,0,0,0,0,0,0,0,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_3,MACGILLIVRAY REEF_1_3_2005,20.5,13.85,45,15,1,1,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,3,2006,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_3,MACGILLIVRAY REEF_1_3_2006,-999,20.5,0,-999,1,1,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,3,2007,17.26,N,0,0,0,0,0,0,0,0,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_3,MACGILLIVRAY REEF_1_3_2007,17.26,-999,52,33,1,1,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,3,2008,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_3,MACGILLIVRAY REEF_1_3_2008,-999,17.26,0,-999,1,1,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,3,2009,15,U,0,0,0,0,0.129,0,0,0,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_3,MACGILLIVRAY REEF_1_3_2009,15,-999,40,23,1,1,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,3,2010,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_3,MACGILLIVRAY REEF_1_3_2010,-999,15,0,-999,1,1,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,3,2011,30.5,N,0,0,0,0,0,0,0,0,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_3,MACGILLIVRAY REEF_1_3_2011,30.5,-999,55,42,1,1,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,3,2012,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_3,MACGILLIVRAY REEF_1_3_2012,-999,30.5,0,-999,1,1,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,3,2013,22.5,N,0,0,0,0,0,0,0,0,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_3,MACGILLIVRAY REEF_1_3_2013,22.5,-999,48,19,1,1,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,3,2014,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_3,MACGILLIVRAY REEF_1_3_2014,-999,22.5,0,-999,1,1,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,3,2015,4.5,M,0,0,0,0,0.649,61.5,0,0,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_3,MACGILLIVRAY REEF_1_3_2015,4.5,-999,45,33,1,1,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,3,2016,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_3,MACGILLIVRAY REEF_1_3_2015,-999,4.5,-999,-999,1,1,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,3,2017,11,N,0,0,0,0,0,0,0,0,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_3,MACGILLIVRAY REEF_1_3_2015,11,-999,-999,6,1,1,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,4,1995,38.24,N,0,0,0,0,0,0,0,0,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_4,MACGILLIVRAY REEF_1_4_1995,38.24,-999,31,15,1,0,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,4,1996,32.2,N,0,0,0,0,0,0,0,0,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_4,MACGILLIVRAY REEF_1_4_1996,32.2,38.24,35,16,1,0,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,4,1997,19,C,1,0,0,0,0.533,0,0,0,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_4,MACGILLIVRAY REEF_1_4_1997,19,32.2,43,24,1,0,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,4,1998,16.5,N,0,0,0,0,0,0,0,0,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_4,MACGILLIVRAY REEF_1_4_1998,16.5,19,27,15,1,0,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,4,1999,26,N,0,0,0,0,0,0,0,0,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_4,MACGILLIVRAY REEF_1_4_1999,26,16.5,31,18,1,0,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,4,2000,24,N,0,0,0,0,0,0,0,0,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_4,MACGILLIVRAY REEF_1_4_2000,24,26,39,30,1,0,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,4,2001,30,N,0,0,0,0,0,0,0,0,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_4,MACGILLIVRAY REEF_1_4_2001,30,24,47,32,1,0,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,4,2002,30,N,0,0,0,0,0,0,0,0,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_4,MACGILLIVRAY REEF_1_4_2002,30,30,54,38,1,0,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,4,2003,20.5,N,0,0,0,0,0,0,0,0,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_4,MACGILLIVRAY REEF_1_4_2003,20.5,30,60,40,1,0,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,4,2004,23.86,N,0,0,0,0,0,0,0,0,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_4,MACGILLIVRAY REEF_1_4_2004,23.86,20.5,35,23,1,0,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,4,2005,26,N,0,0,0,0,0,0,0,0,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_4,MACGILLIVRAY REEF_1_4_2005,26,23.86,53,37,1,1,0.00454245,0.0167471,0.116079,0.13736855
